condition,counter,picture1,picture2,participant,session,date,expName,psychopyVersion,frameRate,
waiting,"[2, 3, 4, 5, 6]",,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (199).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[7],,Faces_AI/aiface (98).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (1).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[8],,Faces_AI/aiface (100).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (200).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[9],,Faces_AI/aiface (99).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (2).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[10],,Faces_AI/aiface (101).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (197).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[11],,Faces_AI/aiface (96).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (198).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[12],,Faces_AI/aiface (97).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (4).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[13],,Faces_AI/aiface (103).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Faces_AI/aiface (3).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[14],,Faces_AI/aiface (102).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
resting,"[15, 16, 17, 18, 19, 20, 21, 22]",,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Houses_AI/aihouse (3).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[23],,Houses_AI/aihouse (102).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Houses_AI/aihouse (1).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[24],,Houses_AI/aihouse (100).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Houses_AI/aihouse (4).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[25],,Houses_AI/aihouse (103).png,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
,[],Houses_AI/aihouse (7).png,,269188,001,2022-11-25_09h58.28.228,LocalizerExperiment,2022.2.4,None,
