condition,counter,picture1,picture2,participant,session,date,expName,psychopyVersion,frameRate,
waiting,"[2, 3, 4, 5, 6]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (6).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[7],,Houses_AI/aihouse (66).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (8).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[8],,Houses_AI/aihouse (68).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (9).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[9],,Houses_AI/aihouse (69).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (4).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[10],,Houses_AI/aihouse (64).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (3).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[11],,Houses_AI/aihouse (63).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (2).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[12],,Houses_AI/aihouse (62).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (5).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[13],,Houses_AI/aihouse (65).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (7).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[14],,Houses_AI/aihouse (67).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[15, 16, 17, 18, 19, 20, 21, 22]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (198).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[23],,Faces_AI/aiface (97).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (199).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[24],,Faces_AI/aiface (98).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (197).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[25],,Faces_AI/aiface (96).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (2).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[26],,Faces_AI/aiface (101).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (200).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[27],,Faces_AI/aiface (99).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (1).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[28],,Faces_AI/aiface (100).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (4).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[29],,Faces_AI/aiface (103).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (3).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[30],,Faces_AI/aiface (102).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[31, 32, 33, 34, 35, 36, 37, 38]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (12).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[39],,Faces_AI/aiface (111).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (9).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[40],,Faces_AI/aiface (108).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (10).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[41],,Faces_AI/aiface (109).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (7).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[42],,Faces_AI/aiface (106).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (6).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[43],,Faces_AI/aiface (105).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (8).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[44],,Faces_AI/aiface (107).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (11).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[45],,Faces_AI/aiface (110).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Faces_AI/aiface (5).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[46],,Faces_AI/aiface (104).png,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
resting,"[47, 48, 49, 50, 51, 52, 53, 54]",,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
,[],Houses_AI/aihouse (12).png,,088648,001,2022-11-23_19h19.45.498,LocalizerExperiment,2022.2.4,120.34606715192439,
